token_name,current_price,price_ma_5,price_ma_20,volume_ma_5,price_volatility,recent_trades,buy_pressure,last_trade,erg_liquidity,token_liquidity,rsi_14,market_impact,liquidity_imbalance,price_momentum_5,bb_position_5,volume_imbalance_5,trade_sign_imbalance_5,price_momentum_20,bb_position_20,volume_imbalance_20,trade_sign_imbalance_20,price_momentum_50,bb_position_50,volume_imbalance_50,trade_sign_imbalance_50
GreasyCex,0.00027533039647577095,2340.628435794049,1535.7326433559929,3.2742652735999997,5823313.036567693,20,0.4,2025-01-19 16:32:03,3964.335133087,14927506,49.99999999237921,1.9999998588870458,0.9645593311683802,0.006057268722466924,0.22613874605644205,-0.7377141897071244,0.19999999999999996,-0.9999999064385762,0.3014201737340742,0.8890624764952899,-0.19999999999999996,-0.9999998909534752,0.2397748802563799,0.6327020162664043,0.08000000000000007
 Rubber,4827.776647702549,3394.47994779935,1454.2915124890744,3.5125174219999997,3939972.882561172,20,0.4,2025-01-04 06:14:00,107.732260809,53990622,63.0153977659662,0.019610437950986492,4.13314149534012e-10,0.337927859366258,0.6847883520031364,0.9430607806391686,0.6000000000000001,22982393.618105214,0.9469437374001167,0.08783169229078529,-0.19999999999999996,,,0.03462289852415841,-0.23809523809523814
rsBTC,1.6296221163252542e-05,24026.781561598513,28019.631886013667,16.034419858999996,1201868846.8531506,20,0.5,2025-01-19 12:16:16,1946.480255138,3157207,49.99999999964391,0.000509578572676043,37.83206398969608,-0.9999999997140796,0.3174734322504531,-0.7126553957227271,0.19999999999999996,-0.9999999996914506,0.2567207604140834,-0.39975881677152214,0.0,-0.12094602948876898,0.28971332242257525,-0.06712912240782955,0.15999999999999992
CRUX,513.1355521505615,503.99218648822523,452.2036789047405,16.3469208694,53356.920743446295,20,0.95,2025-01-19 00:00:52,2900.934710685,15062747794,52.27109353258494,0.00036034799491523213,3.753199455725905e-10,0.04237526807087555,0.8821172458012897,1.0,1.0,0.2120123385844288,0.6379136948418681,0.6595811804581752,0.8999999999999999,0.3691287890282,0.726895917763641,0.40627364010326456,0.6399999999999999
∑rgonaut,3387716.4235923095,2732177.238732892,2333542.3306881483,0.329507427,0.0,11,0.6363636363636364,2025-01-14 23:54:37,59.744494797,2020183732858,,0.052953431374707045,8.729713156476216e-18,-0.008044797155604577,0.6072731522982251,-0.21393318397038744,0.6000000000000001,,,-0.6728248758111096,0.2727272727272727,,,-0.6728248758111096,0.2727272727272727
💩,3987.7675304342547,2350.7081977376174,2159.2740600664238,0.6113981714000001,7053941.129707548,20,0.55,2025-01-18 07:55:16,57.794611131,231846660,55.67824564167946,0.03438459310788247,6.251103207002731e-11,0.019509743977680127,0.6906700852324444,0.018642796025869813,0.19999999999999996,15741113.161259653,0.7278297724205105,0.022759097188048364,0.10000000000000009,26393931.660105936,0.6893436357287551,-0.2424995778950688,-0.040000000000000036
Erdoge,29.103290166718647,17.365805483589334,10.269158508867292,5.5419092624,374.1421890544888,20,0.35,2025-01-18 18:01:33,1909.159196644,55496,57.135499842632704,0.0010475958940952676,0.0011820568744053863,833.2943181126012,0.6854746620968418,0.20604979409307048,0.19999999999999996,857.5470599182001,0.8289956947425615,-0.21467648804561743,-0.30000000000000004,0.1042781136481401,0.7539922017822187,0.28484658688712444,0.08000000000000007
kushti,1.189470804439105e-05,1.1146816751495776e-05,28355.91383817814,4.6,2898025292.1654186,20,0.35,2025-01-19 16:48:00,291.831457478,24526714,49.999999999898826,0.05717786156938787,1.0003199964590828,-0.9999999998644052,0.5000577283116784,-1.0,-1.0,0.005334776557909482,0.32146157703897965,-0.014446225191424852,-0.30000000000000004,0.5269871101013825,0.2937056138774997,-0.24201158026214387,-0.16000000000000003
catWITHbat,3670557.3570887824,3613887.259508868,3158859.783107266,0.3138191258,8418851201185.118,20,0.75,2024-12-27 09:20:37,93.524291714,333323876,58.75053928951923,0.02296526596397732,7.644093484593004e-14,13818707548851.967,0.7713729684371262,1.0,1.0,15209915427749.861,0.5654821833920265,-0.11319809591741661,0.5,,,-0.1429061672737012,0.4285714285714286
The Dip,5151414.156323479,3595737.47269151,3147125.957750023,5.2805355502000015,0.0,12,0.9166666666666666,2024-12-27 12:41:08,74.861870245,386788053,,28601272518039.168,3.757172668227292e-14,0.4469790897844361,0.6851378672512848,0.5686649624177357,0.6000000000000001,,,0.7749176988356425,0.8333333333333333,,,0.7749176988356425,0.8333333333333333
SigUSD,1.6625113916174312,1.2342458759800303,1.3393742073037291,406.4929133126,0.9031279411201102,20,0.7,2025-01-20 05:14:11,117799.1701585,19586456,56.91047887059361,8.780510845836417e-06,0.0036176099540840374,-0.01595102324403952,0.6851727693286269,-0.366846343532498,0.19999999999999996,0.011821797720526606,0.6639101029019763,0.19618254853347578,0.3999999999999999,-0.05384174858235513,0.6508442912653962,-0.29345385176654004,0.3999999999999999
CYPX,0.0009656697182783486,416.5885255080996,570.4418049363941,32.7798753878,477499.3848186853,20,0.55,2025-01-20 02:05:53,9913.27898323,102765331264,50.00000005049405,0.00023218635373753054,9.989461766290379e-05,0.003846633676727329,0.3174300623260163,0.4226531527742283,-0.19999999999999996,-0.9999990772688496,0.230802298262578,-0.10360233382981773,0.10000000000000009,0.015312070478084472,0.25265622104140845,-0.05062222513313358,0.0
SPF,162.19353094736712,32.44366807565062,74.14167036758593,1.3011291906,11980.100514478288,20,0.45,2025-01-20 00:58:27,55508.277929284,8976237450356,59.905275865985885,26001.332813205423,3.812675933838995e-11,26153.31152274632,0.9472135954999591,-0.6908390157517691,-0.6,26760.444403787427,0.761753089716107,-0.9487639361978283,-0.09999999999999998,-0.046819354031968574,0.7361298701133325,-0.7651963487662755,0.0
RSN,0.055551481780225,7.279869817452448,9.982372937616395,42.0510380224,118.8490255433804,20,0.55,2025-01-20 04:41:56,526592.704608858,9506082074,33.43100606307371,2.833125570791406e-06,0.0009971893479918978,0.0003031876427828095,0.3174261393143118,-0.598058054219815,-0.19999999999999996,0.0004944081878437423,0.23061336178191935,0.06883825019266784,0.10000000000000009,-0.9968440997298103,0.28941087076837746,0.3918884042727759,-0.16000000000000003
SigRSV,2410.818342815152,1441.5851929907126,1422.1801577255928,35.1383722632,2610268.376330926,20,0.6,2025-01-19 19:51:46,33264.192996157,79940755,50.162903387451486,5.627363378043056e-05,1.7260137810666638e-07,0.01030472125135673,0.6841257674771843,0.9772328668497308,0.19999999999999996,0.036361811340073213,0.7074325348418108,0.819197963558934,0.19999999999999996,5794400.886956218,0.7353489182455573,-0.02962506324428276,0.08000000000000007
Bober,5.290749764080265,2.2378877095165244,3.2381770909225596,6.2136564214000005,11.968081329148607,20,0.6,2025-01-19 20:28:33,2344.262585684,12381613,59.888583700375634,8.929058478441384,3.57858889144799e-05,27.16795174396333,0.7720512541323357,-0.3518610348441819,-0.19999999999999996,27.002527634673086,0.7008704422059431,0.00812088941111363,0.19999999999999996,0.029637282393997877,0.7609665147674162,0.08574601141077924,-0.040000000000000036
AuctionCoin,0.17260869565217393,2.574566334398485,3.3145243962609925,11.881556437399999,16.254460910304566,20,0.55,2025-01-19 02:54:33,463.974350774,2686,44.76672111106027,0.24446095367878654,1.0007492969236884,-0.9716130799154652,0.31862985189820137,-0.3119493293768395,-0.19999999999999996,-0.9746957068031261,0.23207625551571834,-0.14112528909821373,0.10000000000000009,-0.9612854239440454,0.22386154744358608,0.023218285872884444,0.1200000000000001
